EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;BATTERIESPEICHER BYD;;
Untertitel;Montage und Lieferung BYD Speicher;;
Beschreibung_fett;Materialien:;;
;- Speicher BYD Battery-Box Premium;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Speicher;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
;;;
;BYD-Speicher 5,1 kWh HVS Modul;€/Stk.;2903,38
;BYD-Speicher 7,7 kWh HVS Modul;€/Stk.;3790,87
;BYD-Speicher 10,2 kWh HVS Modul;€/Stk.;4720,1
;BYD-Speicher 12,8 kWh HVS Modul;€/Stk.;5649,33
;BYD-Speicher 16,6 kWh HVM Modul;€/Stk.;999999,99
;BYD-Speicher 19,3 kWh HVM Modul;€/Stk.;999999,99
;BYD-Speicher 22,1 kWh HVM Modul;€/Stk.;999999,99
